"sha256": "d8e883f2b989563a75dcbf4b6fc668435399eec2840d6167f9cba5a1c44e364f",
      "size": 61934,
      "subdir": "noarch",
      "timestamp": 1530612463815,
      "version": "2.3.2"
    },
    "libxi-cos6-i686-1.7.8-h579e212_0.tar.bz2": {
      "build": "h579e212_0",
      "build_number": 0,
      "depends": [
        "libx11-cos6-i686 >=1.5.99.902"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "50dc09f93a897b924a52358a67f359ce",
      "name": "libxi-cos6-i686",
      "noarch": "generic",
      "sha256": "d7eaaa9c0403cae38121da29a2b21da0261fc6e4d8d85b0eec4fe3b44a14add3",
      "size": 31833,
      "subdir": "noarch",
      "timestamp": 1505098234785,
      "version": "1.7.8"
    },
    "libxi-cos6-x86_64-1.7.8-h5354da0_0.tar.bz2": {
      "build": "h5354da0_0",
      "build_number": 0,
      "depends": [
        "libx11-cos6-x86_64 >=1.5.99.902"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "5e9ce4817a6d1e0f5b597cafdad637b3",
      "name": "libxi-cos6-x86_64",
      "noarch": "generic",
      "sha256": "afc792b7c52414f7ea56f68533030da5b3303fd6d3211425059c39264a689208",
      "size": 32487,
      "subdir": "noarch",
      "timestamp": 1505735592630,
      "version": "1.7.8"
    },
    "libxi-cos7-ppc64le-1.7.9-0.tar.bz2": {
      "build": "0",
      "build_number": 0,
      "depends": [
        "libx11-cos7-ppc64le >=1.5.99.902"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "5597f004e108be32f4b9ce4d38d83954",
      "name": "libxi-cos7-ppc64le",
      "sha256": "930495ada0d7efd307d54ca9af99914dbc79647a55023a29735a2758dde7447c",
      "size": 37960,
      "subdir": "noarch",
      "timestamp": 1530612648956,
      "version": "1.7.9"
    },
    "libxi-devel-cos6-i686-1.7.8-hdd8218a_0.tar.bz2": {
      "build": "hdd8218a_0",
      "build_number": 0,
      "depends": [
        "libxi-cos6-i686 ==1.7.8"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "c9c0bf6d99c0fc8fc99ef174be1b441e",
      "name": "libxi-devel-cos6-i686",
      "noarch": "generic",
      "sha256": "7866dff928fbd27a8d4d18b0b1d2be66ac4839057bcc41e7388183463a7b632d",
      "size": 93800,
      "subdir": "noarch",
      "timestamp": 1505098240008,
      "version": "1.7.8"
    },
    "libxi-devel-cos6-x86_64-1.7.8-hda042b6_0.tar.bz2": {
      "build": "hda042b6_0",
      "build_number": 0,
      "depends": [
        "libxi-cos6-x86_64 ==1.7.8"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "25b848aeb00194655499779c514b7689",
      "name": "libxi-devel-cos6-x86_64",
      "noarch": "generic",
      "sha256": "eb9f3937ab3db2b262c6a040709d0a4fc0085c23f1896396edec4d60b783dfa4",
      "size": 93790,
      "subdir": "noarch",
      "timestamp": 1505735596781,
      "version": "1.7.8"
    },
    "libxi-devel-cos7-ppc64le-1.7.9-0.tar.bz2": {
      "build": "0",
      "build_number": 0,
      "depends": [
        "libxi-cos7-ppc64le 1.7.9"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "88ffdaaa61f180bd41da2dab6f2c7b16",
      "name": "libxi-devel-cos7-ppc64le",
      "sha256": "8e55d0051d99a80799bec77e0b3ea528bc1782ae9797f7a0da67ee2b4251581c",
      "size": 94319,
      "subdir": "noarch",
      "timestamp": 1530612655585,
      "version": "1.7.9"
    },
    "libxinerama-cos6-i686-1.1.3-0.tar.bz2": {
      "build": "0",
      "build_number": 0,
      "depends": [
        "libx11-cos6-i686 >=1.5.99.902"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "a3bcfe5eeb951998d8257bb1a7a93f00",
      "name": "libxinerama-cos6-i686",
      "noarch": "generic",
      "sha256": "956b9c19180e04e0e2eea2ea7b99068712360e51511552de50137145221acfe8",
      "size": 8775,
      "subdir": "noarch",
      "timestamp": 1520567845666,
      "version": "1.1.3"
    },
    "libxinerama-cos6-x86_64-1.1.3-0.tar.bz2": {
      "build": "0",
      "build_number": 0,
      "depends": [
        "libx11-cos6-x86_64 >=1.5.99.902"
      ],
      "license": "MIT",
      "license_family": "MIT",
      "md5": "7c200f0d0166419af4fb578335e2f3e6",
