     ],
      "license": "BSD",
      "md5": "98db2cfa2a663b3fa5253907cfd4f30f",
      "name": "_ipyw_jlab_nb_ext_conf",
      "sha256": "42d88db82dfb46ef7dadff7b3d12cfad9c11f1e4b34eb73193421579c397d866",
      "size": 3872,
      "subdir": "win-64",
      "timestamp": 1534354641864,
      "version": "0.1.0"
    },
    "_ipyw_jlab_nb_ext_conf-0.1.0-py35hfaa8434_0.tar.bz2": {
      "build": "py35hfaa8434_0",
      "build_number": 0,
      "depends": [
        "ipywidgets",
        "jupyterlab",
        "python >=3.5,<3.6.0a0",
        "widgetsnbextension"
      ],
      "license": "BSD",
      "md5": "d18736b377bee923509de5a5acb74a89",
      "name": "_ipyw_jlab_nb_ext_conf",
      "sha256": "8415c4e73d1977db3e157cc75a47ad9b0e8627d994ba41f5a926ff139de0e670",
      "size": 4123,
      "subdir": "win-64",
      "timestamp": 1505856747013,
      "version": "0.1.0"
    },
    "_ipyw_jlab_nb_ext_conf-0.1.0-py36_0.tar.bz2": {
      "build": "py36_0",
      "build_number": 0,
      "depends": [
        "ipywidgets",
        "jupyterlab",
        "python >=3.6,<3.7.0a0",
        "widgetsnbextension"
      ],
      "license": "BSD",
      "md5": "f27f0a74187b7599bc6de963f2e41566",
      "name": "_ipyw_jlab_nb_ext_conf",
      "sha256": "1614cbfdb51c32242e5901c8119d99a74d397144b9531b6f70061d7fe9ffc606",
      "size": 3720,
      "subdir": "win-64",
      "timestamp": 1531673357109,
      "version": "0.1.0"
    },
    "_ipyw_jlab_nb_ext_conf-0.1.0-py36he6757f0_0.tar.bz2": {
      "build": "py36he6757f0_0",
      "build_number": 0,
      "depends": [
        "ipywidgets",
        "jupyterlab",
        "python >=3.6,<3.7.0a0",
        "widgetsnbextension"
      ],
      "license": "BSD",
      "md5": "e5831119d490390d1d3fd9ff05a7b8d4",
      "name": "_ipyw_jlab_nb_ext_conf",
      "sha256": "b9cbe2732eb5b0c88297c64f1d1becb9a9cfa44b918b8f6eb98508dbc29fc786",
      "size": 4082,
      "subdir": "win-64",
      "timestamp": 1505856790810,
      "version": "0.1.0"
    },
    "_ipyw_jlab_nb_ext_conf-0.1.0-py37_0.tar.bz2": {
      "build": "py37_0",
      "build_number": 0,
      "depends": [
        "ipywidgets",
        "jupyterlab",
        "python >=3.7,<3.8.0a0",
        "widgetsnbextension"
      ],
      "license": "BSD",
      "md5": "ad2da510ac9200a117ddaee414def1fe",
      "name": "_ipyw_jlab_nb_ext_conf",
      "sha256": "59b0eab9fed33e722ba220c23081836ddb2750ee28a7c1138a890e364fb67666",
      "size": 3661,
      "subdir": "win-64",
      "timestamp": 1531673275379,
      "version": "0.1.0"
    },
    "_libgcc_mutex-0.1-main.tar.bz2": {
      "build": "main",
      "build_number": 0,
      "depends": [],
      "md5": "ce8543775a3396c27930c0e10e9c1bc2",
      "name": "_libgcc_mutex",
      "sha256": "eb1ee30d9c7cb0b91ec58a5c92c9bef6f104056ce4dda03ee517e179464d9680",
      "size": 3459,
      "subdir": "win-64",
      "timestamp": 1562011371637,
      "version": "0.1"
    },
    "_low_priority-1.0-0.tar.bz2": {
      "build": "0",
      "build_number": 0,
      "depends": [],
      "md5": "e9679147307a16e4b99bffd1ea155df4",
      "name": "_low_priority",
      "sha256": "2583cb9959fe1beacdb20ad037899506190644692e1b430ff128230b8432e43f",
      "size": 142955,
      "subdir": "win-64",
      "timestamp": 1563307090249,
      "track_features": "_low_priority",
      "version": "1.0"
    },
    "_mutex_mxnet-0.0.20-gpu_mkl.tar.bz2": {
      "build": "gpu_mkl",
      "build_number": 0,
      "depends": [],
      "md5": "15eac4d4f4922405eda01c37c2034742",
      "name": "_mutex_mxnet",
      "sha256": "9da3e0f1fb64f005533bb884a64f58cd2efabbe255cba8a6e52366de5d6793da",
      "size": 2875,
      "subdir": "win-64",
      "timestamp": 1533388239458,
      "version": "0.0.20"
    },
    "_mutex_mxnet-0.0.40-mkl.tar.bz2": {
      "build": "mkl",
      "build_number": 0,
      "depends": [],
      "md5": "8630146d7a7356f6befc4f37fe770751",
      "name": "_mutex_mxnet",
      "sha256": "4529661344442bb12837c0f159ed7c85b6bdd0dd3d6d589c989eecfae2bbf8a2",
      "size": 2876,
      "subdir": "win-64",
      "timestamp": 1533388241520,
      "version": "0.0.40"
    },
    "_py-xgboost-mutex-2.0-cpu_0.tar.bz2": {
      "build": "cpu_0",
      "build_number": 0,
      "depends": [],
      "md5": "153eaecc329bf47bd67a95d3fe43dabe",
      "name": "_py-xgboost-mutex",
      "sha256": "096c7ce76cbd3f32c972dddbf2f40c8584f24cbb9d7b01543dc030456e31296a",
      "size": 9140,
      "subdir": "win-64",
      "timestamp": 1530224929472,
      "version": "2.0"
    },
    "_pytorch_select-1.1.0-cpu.tar.bz2": {
      "build": "cpu",
      "build_number": 0,
      "depends": [],
      "md5": "0bfc2523655ba7998ded4ed639cf0512",
      "name": "_pytorch_select",
      "sha256": "c5f84bc87210e6ecac183f58bcd347f666766c5adea8b9f9fe34fde3361208a6",
      "size": 2045,
      "subdir": "win-64",
      "timestamp": 1559128675341,
      "version": "1.1.0"
    },
    "_pytorch_select-1.2.0-gpu.tar.bz2": {
      "build": "gpu",
      "build_number": 0,
      "depends": [],
      "md5": "dfcaf393dec7f7dbdd7a3919b4a3b637",
      "name": "_pytorch_select",
      "sha256": "01c74dcfce9d771b23acb796ffd486e466b0926564d0d70bdab2327113483f7a",
      "size": 2057,
      "subdir": "win-64",
      "timestamp": 1559128678653,
      "version": "1.2.0"
    },
    "_tflow_1100_select-0.0.1-gpu.tar.bz2": {
      "build": "gpu",
      "build_number": 0,
      "depends": [],
      "md5": "9d5f2ad9eafe5b888b74e0b4a6b305fd",
      "name": "_tflow_1100_select",
      "sha256": "d6c2b7a70c9d5010dbdf6ffaa6d3a500b05a71744226d9f9e8b8ad9e1c4c03d8",
      "size": 2907,
      "subdir": "win-64",
      "timestamp": 1535270112533,
      "version": "0.0.1"
    },
    "_tflow_1100_select-0.0.2-eigen.tar.bz2": {
      "build": "eigen",
      "build_number": 0,
      "depends": [],
      "md5": "043f5314ccf74c477863e6cb69ebb2d2",
      "name": "_tflow_1100_select",
      "sha256": "e7093166f1f7470b711c72f70691d03333447a7fe9e0ed253cd8a1fe5524bb0f",
      "size": 2908,
      "subdir": "win-64",
      "timestamp": 1535270114361,
      "version": "0.0.2"
    },
    "_tflow_1100_select-0.0.3-mkl.tar.bz2": {
      "build": "mkl",
      "build_number": 0,
      "depends": [],
      "md5": "cc19225485c02dc98425d7b313506690",
      "name": "_tflow_1100_select",
      "sha256": "1cbdb38564773037955470c209e573b5189109695c7747ffcc4acea138fbd402",
      "size": 2905,
      "subdir": "win-64",
      "timestamp": 1535270113533,
      "version": "0.0.3"
    },
    "_tflow_190_select-0.0.1-gpu.tar.bz2": {
      "build": "gpu",
      "build_number": 0,
      "depends": [],
      "md5": "9dae90fcf11f800c2cb653eea65132af",
      "name": "_tflow_190_select",
      "sha256": "8ecef2fa31a5c388530cb7d918a00eac60d84f8bcab10324449eda4e37ec9ef8",
      "size": 2774,
      "subdir": "win-64",
      "timestamp": 1533573329360,
      "version": "0.0.1"
    },
    "_tflow_190_select-0.0.2-eigen.tar.bz2": {
      "build": "eigen",
      "build_number": 0,
      "depends": [],
      "md5": "3567aa0f89e4c2e5ba53a2075dcb0ec6",
      "name": "_tflow_190_select",
      "sha256": "290c2f44c9f82f656663df5b56627e5f6de605cf9d08ef05efad9669b9595785",
      "size": 2778,
      "subdir": "win-64",
      "timestamp": 1533154051123,
      "version": "0.0.2"
    },
